barrage,follow,name,play,tags
345000,2820000,CLANNAD ～AFTER STORY～,12387000,"时泪,校园,治愈,催泪"
3865000,2246000,我的妹妹不可能那么可爱 第二季,26227000,"日常,萌系,校园,小说改"
979000,1235000,赤发白雪姬 第一季,23727000,"少女,奇幻,架空"
444000,1084000,噬神者,29883000,"奇幻,科幻,热血,游戏改"
204000,1076000,电波女与青春男,6652000,"萌系,日常,小说改"
293000,1220000,关于完全听不懂老公在说什么的事 第一季,56676000,"日常,泡面"
277000,1104000,灰与幻想的格林姆迦尔 ,10625000,"奇幻,战斗,小说改,励志"
352000,1242000,3月的狮子,20027000,"漫画改,恋爱,日常,励志"
250000,1079000,索玛丽与森林之神,15113000,"漫画改,奇幻,治愈,萌系"
838000,2311000,请问您今天要来点兔子吗？？,20204000,"萌系,日常,美食,萝莉"
569000,1086000,来自风平浪静的明天,9657000,"奇幻,治愈,催泪,恋爱"
973000,1253000,灼眼的夏娜,12864000,"校园,战斗,热血,小说改"
642000,1286000,吹响吧！上低音号,25470000,"音乐,校园,少女,励志"
2591,1880000,Q版！黑色四叶草,845000,"搞笑,萌系,战斗,架空"
76000,1995000,魔法少女小圆 剧场版 [新篇] 叛逆的物语,2187000,"原创,战斗,奇幻,魔法"
524000,1022000,宝石商人理查德的谜鉴定,14278000,"小说改,日常,推理,治愈"
398000,1028000,百炼霸王与圣约女武神,31064000,"小说改,奇幻,战斗,架空"
255000,1100000,UQ HOLDER！悠久持有者！,24457000,"热血,战斗,漫画改,冒险"
1212000,1027000,学园孤岛,24976000,"萌系,校园,冒险,日常"
150000,1023000,一起一起这里那里,8088000,"萌系,日常,治愈,萝莉"
1000000,1015000,百武装战记,23996000,"恋爱,校园,战斗"
30000,1995000,魔法少女小圆 剧场版 [前篇] 起始的物语,1051000,"原创,奇幻,战斗,魔法"
37000,1213000,哆啦A梦 第一季,3378000,"漫画改,日常,少儿,搞笑"
